Số thứ tự;Liên từ;Dịch nghĩa tiếng Việt;Cách dùng
39;So;Vì vậy;So + mệnh đề (chỉ kết quả)
40;Because of;Bởi vì;Because of + danh từ/cụm danh từ (chỉ lý do)
41;Due to;Do;Due to + danh từ/cụm danh từ (chỉ lý do)
42;In spite of;Mặc dù;In spite of + danh từ/cụm danh từ (chỉ sự nhượng bộ)
43;Despite;Mặc dù;Despite + danh từ/cụm danh từ (chỉ sự nhượng bộ)
44;As if;Cứ như thể;As if + mệnh đề (chỉ sự so sánh)
45;As though;Như thể;As though + mệnh đề (chỉ sự so sánh)
46;No sooner than;Không sớm hơn;No sooner than + mệnh đề (chỉ thời gian)
47;Hardly when;Ngay khi;Hardly when + mệnh đề (chỉ thời gian)
48;Not only but also;Không chỉ mà còn;Not only + mệnh đề but also + mệnh đề
49;Neither nor;Không mà cũng không;Neither + mệnh đề nor + mệnh đề
50;Both and;Cả hai và;Both + mệnh đề and + mệnh đề
51;Either or;Hoặc hoặc;Either + mệnh đề or + mệnh đề
52;Not until;Không cho đến khi;Not until + mệnh đề (chỉ thời gian)
53;Not unless;Không trừ khi;Not unless + mệnh đề (chỉ điều kiện)
54;So much that;Nhiều đến nỗi;So much that + mệnh đề (chỉ kết quả)
55;Such that;Đến mức mà;Such that + mệnh đề (chỉ kết quả)
56;In the event that;Trong trường hợp;In the event that + mệnh đề (chỉ điều kiện)
57;Only if;Chỉ khi;Only if + mệnh đề (chỉ điều kiện)
58;Until;Cho đến khi;Until + mệnh đề (chỉ thời gian)
59;Whether or not;Liệu hay không;Whether or not + mệnh đề (chỉ lựa chọn)
60;Even when;Ngay cả khi;Even when + mệnh đề (chỉ sự nhượng bộ)
61;Even after;Ngay cả sau;Even after + mệnh đề (chỉ thời gian)
62;Ever since;Kể từ khi;Ever since + mệnh đề (chỉ thời gian)
63;For;Vì;For + mệnh đề (chỉ lý do)
64;Only when;Chỉ khi;Only when + mệnh đề (chỉ điều kiện)
65;In case;Trong trường hợp;In case + mệnh đề (chỉ điều kiện)
66;Unless;Trừ khi;Unless + mệnh đề (chỉ điều kiện)
67;After;Sau;After + mệnh đề (chỉ thời gian)
68;Before;Trước;Before + mệnh đề (chỉ thời gian)
69;Although;Mặc dù;Although + mệnh đề (chỉ sự nhượng bộ)
70;Though;Mặc dù;Though + mệnh đề (chỉ sự nhượng bộ)
71;Despite the fact that;Mặc dù thực tế là;Despite the fact that + mệnh đề
72;In spite of the fact that;Mặc dù thực tế là;In spite of the fact that + mệnh đề
73;Because of the fact that;Vì thực tế là;Because of the fact that + mệnh đề
74;Considering that;Xem xét rằng;Considering that + mệnh đề
75;So as to;Để mà;So as to + động từ nguyên mẫu (chỉ mục đích)
76;So as not to;Để không;So as not to + động từ nguyên mẫu
77;In order to;Để mà;In order to + động từ nguyên mẫu (chỉ mục đích)
78;In order not to;Để không;In order not to + động từ nguyên mẫu
79;If only;Chỉ nếu;If only + mệnh đề (chỉ điều kiện)
80;But for;Nếu không có;But for + danh từ/cụm danh từ (chỉ điều kiện)
