Topic;STT;Từ vựng;Phiên âm;Nghĩa;;
Warranties (bảo hành);25;characteristic(adj, n);/ˌker.ək.təˈrɪs.tɪk/;đặc thù (adj), đặc trưng, đặc điểm (n);;
;26;consequence (n);/ˈkɑːnsɪkwens/;kết quả, hậu quả;;
;27;cover (v);/ˈkʌvər/;che phủ, bao gồm;;
;28;expiration (n);/ˌek.spəˈreɪ.ʃən/;sự hết hạn;;
;29;frequently (adv);/ˈfriːkwəntli/;thường xuyên;;
;30;imply (v);/ɪmˈplaɪ/;ngụ ý, hàm ý;;
;31;promise (n, v);/ˈprɑːmɪs;lời hứa, sự cam đoan (n), hứa, cam kết (v);;
;32;reputation (n);/ˌrepjuˈteɪʃn/;danh tiếng, thanh danh;;
;33;require (v);/rɪˈkwaɪər/;đòi hỏi, yêu cầu;;
;34;variety (n);/vəˈraɪəti/;sự đa dạng;;
Business planning (Kế hoạch kinh doanh);35;address (n, v);/əˈdres/;trình bày (v), bài diễn văn (n);;
;36;avoid (v);/əˈvɔɪd/;phòng tránh, ngăn ngừa;;
;37;demonstrate (v);/ˈdemənstreɪt/;chứng minh, giải thích;;
;38;develop (v);/dɪˈveləp/;phát triển;;
;39;evaluate (v);/ɪˈvæljueɪt/;đánh giá, ước lượng;;
;40;gather (v);/ˈɡæðər/;tập hợp, thu thập;;
;41;offer (v);/ˈɔːfər/;đề xuất, đề nghị;;
;42;primarily (adv);/praɪˈmerəli/;ưu tiên, chủ yếu;;
;43;risk (n);/rɪsk/;rủi ro, nguy cơ;;
;44;strategy (n);/ˈstrætədʒi/;chiến lược;;
;45;strengthen (v);/ˈstreŋθn/;làm mạnh, củng cố;;
;46;substitution (n);/ˌsʌb.stəˈtuː.ʃən/;sự thay thế (= replacement);;
Conferences (Hội nghị);47;accommodate (v);/əˈkɑːmədeɪt/;cung cấp chỗ;;
;48;arrangement (n);/əˈreɪndʒ.mənt/;sự sắp xếp, sắp đặt;;
;49;association (n);/əˌsoʊ.siˈeɪ.ʃən/;liên hiệp, đoàn thể (= organization)\nsự liên hiệp;;
;50;attend (v);/əˈtend/;tham gia, tham dự;;
;51;"get in touch with\nsomebody (v)";;liên lạc với ai, kết nối với ai (= connect);;
;52;hold (v);/həʊld/;tiến hành, tổ chức (= organize)\nchứa, đựng (= contain);;
;53;location (n);/loʊˈkeɪ.ʃən/;vị trí, địa điểm;;
;54;overcrowded (adj);/oʊvərˈkraʊdɪd/;quá đông đúc, chật kín;;
;55;register (n, v);/ˈredʒɪstər/;hồ sơ, sổ sách (n)\nđăng ký (v);;
;56;select (v);/sɪˈlekt/;lựa chọn;;
;57;session (n);/ˈseʃn/;cuộc họp;;
;58;take part in (v);/teɪk pɑrt ɪn/;tham gia vào;;
Computers (Máy tính);59;access (n,v);/ˈækses/;truy cập (v)\nquyền truy cập (n);;
;60;allocate (v);/ˈæləkeɪt/;phân phát, cấp cho;;
;61;compatible with something (adj);/kəmˈpætəbl/;tương thích, tương xứng với cái gì;;
;62;delete (v);/dɪˈliːt/;xóa (= remove);;
;63;display (n,v);/dɪˈspleɪ/;sự trưng bày, vật trưng bày (n)\ntrưng bày, hiển thị (v);;
;64;duplicate (v, n);ˈduː.plə.keɪt/;"sao chép, nhân đôi (v)\nbản sao (n)";;
;65;failure (n);/ˈfeɪ.ljɚ/;sự thất bại;;
;66;figure out (v);/ˈfɪɡjər aʊt/;hiểu ra, tìm ra;;
;67;ignore (v);/ɪɡˈnɔːr/;phớt lờ;;
;68;search (n, v);/sɜːrtʃ/;"sự tìm kiếm (n)\ntìm kiếm (v)";;
;69;shut down (v);/ʃʌt daʊn/;tắt;;
;70;warning (n);/ˈwɔːr.nɪŋ/;lời cảnh báo, sự cảnh báo;;
Office Technology (Công nghệ văn phòng);71;affordable (adj);/əˈfɔːr.də.bəl/;có khả năng chi trả, phải chăng;;
;72;as needed (adv);/æz niːdɪd/;khi cần thiết;;
;73;capacity (n);/kəˈpæsəti/;sức chứa, dung lượng;;
;74;durable (adj);/ˈdʊrəbl/;bền;;
;75;be in charge of (v);/ɪn tʃɑːrdʒ əv/;chịu trách nhiệm về;;
;76;initiative (n);/ɪˈnɪʃ.ə.t̬ɪv/;"sáng kiến\nsự chủ động, thế chủ động";;
;77;physically (adv);/ˈfɪz.ɪ.kəl.i/;về mặt thể chất;;
;78;provider (n);/prəˈvaɪ.dɚ/;nhà cung cấp (= supplier);;
;79;recur (v);/rɪˈkɜːr/;tái diễn;;
;80;reduction (n);/rɪˈdʌk.ʃən/;sự giảm sút;;
;81;stay on top of (v);/steɪ ɔːn tɑːp əv/;nắm bắt tình hình;;
;82;stock (v, n);/stɑːk/;"hàng tồn, cổ phần (n)\ntích trữ (v)";;
Office procedures (Thủ tục văn phòng);83;appreciation (n);/əˌpriː.ʃiˈeɪ.ʃən/;sự cảm kích, sự ghi nhận;;
;84;bring in (v);/brɪŋ ɪn/;dẫn đến tuyển dụng, thuê;;
;85;casually (adv);/ˈkæʒ.uː.ə.li/;bình thường;;
;86;code (n);/koʊd/;quy tắc, luật lệ;;
;87;expose (v);/ɪkˈspoʊz/;phơi bày, bộc lộ;;
;88;glimpse (v,n);/ɡlɪmps/;"liếc, nhìn thoáng qua (v)\ncái nhìn thoáng qua (n)";;
;89;be made of (v);/bi meɪd əv/;"làm bằng (chất liệu)\nbao gồm (= consist of)";;
;90;out of (adj);/aʊt əv/;hết, không còn;;
;91;outdated (adj);/aʊtˈdeɪtɪd/;lỗi thời, lạc hậu;;
;92;practice (n,v);/ˈpræktɪs/;"luyện tập (v)\nsự luyện tập (n)";;
;93;reinforce (v);/riːɪnˈfɔːrs/;tăng cường, củng cố;;
;94;verbally (adv);/ˈvɝː.bəl.i/;bằng lời nói;;
Electronics (Điện tử);95;device (n);/dɪˈvaɪs/;thiết bị, máy móc;;
;96;facilitate (v);/fəˈsɪlɪteɪt/;làm cho dễ dàng;;
;97;network (n, v);/ˈnetwɜːrk/;mạng lưới (n), kết nối (v);;
;98;popularity (n);/ˌpɑː.pjəˈler.ə.t̬i/;tính phổ biến;;
;99;process (n, v);/ˈproʊses/;quá trình (n), xử lý (v);;
;100;replace (v);/rɪˈpleɪs/;thay thế (= substitute);;
;101;revolution (n);/ˌrev.əˈluː.ʃən/;cuộc cách mạng;;
;102;sharp (adj);/ʃɑːrp/;thông minh, sắc bén, nhọn;;
;103;skill (n);/skɪl/;kỹ năng;;
;104;software (n);/ˈsɔːftwer/;phần mềm;;
;105;store (v);/stɔːr/;lưu trữ, chứa ;;
;106;technical (adj);/ˈteknɪkl/;thuộc về kĩ thuật, chuyên môn;;
Correspondences (Thư tín);107;assemble (v);/əˈsembl/;lắp ráp, thu thập;;
;108;beforehand (adv);/bɪˈfɔːrhænd/;trước, có sẵn;;
;109;complication (n);/ˌkɑːm.pləˈkeɪ.ʃən/;sự phức tạp;;
;110;courier (n);/ˈkʊriər/;người đưa thư;;
;111;distribute (v);/dɪˈstrɪb.juːt/;phân phát;;
;112;express (adj);/ɪkˈspres/;nhanh, hỏa tốc;;
;113;fold (v);/foʊld/;gấp lại;;
;114;layout (n);/ˈleɪaʊt/;cách trình bày, sự bố trí;;
;115;mention (n, v);/ˈmenʃn/;"đề cập (v)\nsự đề cập (n)";;
;116;petition (n, v);/pəˈtɪʃn/;"kiến nghị (v)\nđơn kiến nghị (n)";;
;117;proof (n, v);/pruːf/;"bằng chứng (n) (= evidence)\nchứng minh (v)";;
;118;revise (v);/rɪˈvaɪz/;sửa lại, xem lại;;
Job Advertising and Recruiting (Mô tả công việc và Tuyển dụng);119;abundant (adj);/əˈbʌndənt/;nhiều, dư thừa;;
;120;accomplishment (n);/əˈkɑːm.plɪʃ.mənt/;thành tựu;;
;121;bring together (v);/brɪŋ təˈɡeðə/;gộp lại (= gather);;
;122;candidate (n);/ˈkændɪdət/;ứng viên, thí sinh;;
;123;come up with (v);/kʌm ʌp wɪθ/;đưa ra, nghĩ ra;;
;124;commensurate with (adj);/kəˈmenʃərət /wɪð/;tương xứng với;;
;125;match (n, v);/mætʃ/;"hợp, xứng (v)\nsự tương xứng (n)";;
;126;profile (n);/ˈproʊfaɪl/;lý lịch;;
;127;qualification (n);/kwɑː.lə.fəˈkeɪ.ʃən/;năng lực, trình độ, tố chất;;
;128;recruit (n, v);/rɪˈkruːt/;"tuyển dụng (v)\nnhân viên mới (n)";;
;129;submit (n);/səbˈmɪt/;nộp;;
;130;time-consuming (adj);/ˈtaɪmkənsuː.mɪŋ/;tốn thời gian;;
Applying and Interviewing (Ứng tuyển và Phỏng vấn);131;ability (n);/əˈbɪləti/;khả năng, năng lực;;
;132;apply for (v);/əˈplaɪ foː/;ứng tuyển vào;;
;133;background (n);/ˈbækɡraʊnd/;lý lịch, nền tảng;;
;134;be ready for (v);;sẵn sàng cho;;
;135;call in (v);/kɔːl ɪn/;mời tới, gọi vào làm việc;;
;136;confidence (n);/ˈkɑːnfɪdəns/;sự tự tin;;
;137;constantly (adv);/ˈkɑːn.stənt.li/;liên tục, không ngừng;;
;138;expert (n, adj);/ˈekspɜːrt/;chuyên gia, chuyên viên;;
;139;follow up (v);/ˈfɑːloʊ ʌp/;bám sát, tiếp tục việc gì đó;;
;140;hesitate(v);/ˈhezɪteɪt/;lưỡng lự, do dự;;
;141;interview (n, v);/ˈɪntərvjuː/;"buổi phỏng vấn (n)\nphỏng vấn (v)";;
;142;present (v, adj);/prɪˈzent/;"có mặt (adj)\ntrình bày, nêu ra (v)";;
;143;weaken (v);/ˈwiːkən/;làm yếu đi;;
Hiring and Training (Tuyển dụng và Đào tạo);144;conduct (v);/kənˈdʌkt/;tiến hành, thực hiện;;
;145;generate (v);/ˈdʒenəreɪt/;tạo ra, sản xuất ra;;
;146;hire (v, n);/ˈhaɪər/;"thuê, mướn (v)\nnhân viên, người làm thuê (n)";;
;147;keep up with (v);/kiːp ʌp wɪθ/;theo kịp;;
;148;look up to somebody (v);/lʊk ʌp tuː/;tôn trọng, ngưỡng mộ ai đó;;
;149;mentor (n);/ˈmentɔːr/;cố vấn;;
;150;on track (n);/ɔːn træk/;theo đúng kế hoạch;;
;151;reject (n, v);/rɪˈdʒekt/;"đồ thừa, phế phẩm (n)\ntừ chối (v)";;
;152;set up (v);/set ʌp/;thiết lập, sắp xếp;;
;153;success (n);/səkˈses/;sự thành công;;
;154;train (v);/treɪn/;đào tạo, huấn luyện;;
;155;update (n, v);/ˌʌpˈdeɪt/;"cập nhật (v)\nthông tin mới nhất (n)";;
Salaries and Benefits (Lương và Phúc lợi);156;be aware of (v);/biː əˈwer ɒv/;biết được, nhận thức được;;
;157;basis (n);/ˈbeɪsɪs/;cơ sở, căn cứ;;
;158;benefit (n);/ˈbenɪfɪt/;lợi ích, phúc lợi;;
;159;compensate (v);/ˈkɑːmpenseɪt/;đền bù, bồi thường (= make up for);;
;160;delicate (adj);/ˈdel.ə.kət/;"tế nhị, khôn khéo\ntinh vi, tinh xảo";;
;161;eligible (adj);/ˈelɪdʒəbl/;đủ tiêu chuẩn (= qualified);;
;162;flexibly (adv);/ˈflek.sə.bli/;một cách linh hoạt;;
;163;negotiate (v);/nɪˈɡoʊʃieɪt/;đàm phán, thương lượng;;
;164;retire (v);/rɪˈtaɪər/;nghỉ hưu;;
;165;vest in (adj);/vest ɪn/;trao quyền cho ai;;
;166;wage (n);/weɪdʒ/;lương theo giờ;;
;167;raise (n, v);/reɪz/;"tăng lên (v)\nsự tăng trưởng (n)";;
Promotions, Pensions and Awards (Thăng tiến, Lương hưu và Giải thưởng);168;achievement (n);/əˈtʃiːv.mənt/;thành tựu (= accomplishment);;
;169;contribute (v);/kənˈtrɪbjuːt/;đóng góp;;
;170;dedicate to (n);/ˈdedɪkeɪt tuː/;cống hiến cho;;
;171;looking forward to V-ing (v);/lʊk ˈfɔːrwərd tuː/;trông mong, mong đợi;;
;172;look to somebody (v);/lʊk tuː/;trông cậy vào ai;;
;173;loyal (adj);/ˈlɔɪ.əl/;trung thành;;
;174;merit (n, v);/ˈmerɪt/;"xứng đáng, có công (v)\ncông lao (n)";;
;175;obviously (adv);/ˈɑːb.vi.əs.li/;rõ ràng, hiển nhiên;;
;176;productive (adj);/prəˈdʌk.tɪv/;có hiệu quả, có năng suất;;
;177;promote (v);/prəˈməʊt/;đẩy mạnh thăng chức;;
;178;recognition (n);/ˌrek.əɡˈnɪʃ.ən/;sự công nhận;;
;179;value (n, v);/ˈvæljuː/;"định giá (v)\ngiá trị (n)";;
Shopping (Mua sắm);180;bargain (n, v);/ˈbɑːrɡən/;"món hời (n)\nmặc cả (v)";;
;181;bear (v);/ber/;chịu đựng, cam chịu;;
;182;behavior (n);/bɪˈheɪ.vjər/;thái độ, hành vi;;
;183;checkout (n);/tʃek aʊt əv/;quầy thanh toán, thủ tục thanh toán;;
;184;comfort (n, v);/ˈkʌmfərt/;"sự thoải mái (n)\nan ủi (v)";;
;185;expand (v);/ɪkˈspænd;mở rộng;;
;186;explore (v);/ɪkˈsplɔːr/;khám phá, thăm dò;;
;187;item (n);/ˈaɪtəm/;món hàng, món đồ;;
;188;mandatory (adj);/ˈmændətɔːri/;bắt buộc;;
;189;merchandise (n, v);/ˈmɜːrtʃəndaɪz/;"buôn bán (v)\nhàng hóa (n) (= goods)";;
;190;strictly (adv);/ˈstrɪkt.li/;một cách nghiêm khắc;;
;191;trend;/trend/;xu hướng;;
Ordering Supplies (Đặt hàng nhà cung cấp);192;diversify (v);/daɪˈvɜːrsɪfaɪ/;đa dạng hóa;;
;193;consistent (adj);/kənˈsɪstənt/;đều đặn, nhất quán;;
;194;enterprise (n);/ˈentərpraɪz/;dự án lớn doanh nghiệp;;
;195;essentially (adv);/ɪˈsen.ʃəl.i/;một cách thiết yếu, về cơ bản;;
;196;function (n, v);/ˈfʌŋkʃn/;"có vai trò (v)\nnhiệm vụ, chức năng (n)";;
;197;maintain (v);/meɪnˈteɪn/;duy trì;;
;198;obtain (v);/əbˈteɪn/;đạt được, giành được;;
;199;prerequisite (n);/ˌpriːˈrekwəzɪt/;điều kiện tiên quyết;;
;200;quality (n);/ˈkwɑːləti/;"chất lượng (sản phẩm)\nphẩm chất (người)";;
;201;source (n);/sɔːrs/;nguồn;;
;202;stationery (n);/ˈsteɪʃəneri/;văn phòng phẩm;;
;203;smooth (adj);/smuːð/;suôn sẻ, trơn tru;;
Shipping (Vận chuyển);204;carrier;/ˈkæriər/;người vận chuyển, bên vận chuyển;;
;205;inventory (n);/ˈɪnvəntɔːri/;bản kiểm kê hàng hóa, hàng tồn;;
;206;accurately (adv);/ˈæk.jɚ.ət.li/;một cách chính xác;;
;207;catalogue (n);/ˈkætəlɔːɡ/;bản liệt kê, danh mục sản phẩm;;
;208;fulfill (v);/fʊlˈfɪl/;hoàn thành;;
;209;integral (adj);/ˈɪn.t̬ə.ɡrəl/;không thể thiếu;;
;210;minimize (v);/ˈmɪnɪmaɪz/;giảm thiểu;;
;211;on hand (adj);/ɒn hænd/;có sẵn (= available);;
;212;ship (v);/ʃɪp/;vận chuyển;;
;213;sufficiently (adv);/səˈfɪʃ.ənt.li/;đủ;;
;214;supply (n, v);/səˈplaɪ/;nguồn cung, sự cung cấp (n), cung cấp (v);;
;215;receive (v);/rɪˈsiːv/;nhận;;
Invoices (Hóa đơn);216;charge (n, v);/tʃɑːrdʒ/;tiền phí (n), tính phí (v);;
;217;compile (v);/kəmˈpaɪl/;biên soạn, soạn;;
;218;customer (n);/ˈkʌstəmər/;khách mua hàng;;
;219;discount (n, v);/dɪsˈkaʊnt/;sự giảm giá (n), giảm giá (v);;
;220;dispute (v);/dɪˈspjuːt/;tranh cãi;;
;221;efficient (adj);/ɪˈfɪʃ.ənt/;hiệu quả (= effective);;
;222;estimate (v);/ˈestɪmeɪt/;ước tính;;
;223;impose (v);/ɪmˈpəʊz/;áp đặt, ép buộc;;
;224;mistake (n);/mɪˈsteɪk/;lỗi, nhầm lẫn;;
;225;prompt (adj);/ˈprɑːmpt/;nhanh, đúng giờ (= punctual);;
;226;rectify (v);/ˈrektɪfaɪ/;sửa chữa, sửa lỗi;;
;227;terms (n);/tɜːrmz/;điều khoản (hợp đồng);;
Inventory (Hàng hóa);228;adjustment (n);/əˈdʒʌst.mənt/;sự điều chỉnh;;
;229;automatic (adj);/ˌɑː.t̬əˈmæt̬.ɪk/;tự động;;
;230;crucial (adj);/ˈkruːʃl;cốt yếu, quan trọng;;
;231;discrepancy (n);/dɪsˈkrepənsi/;sự khác nhau, không nhất quán;;
;232;disturb (v);/dɪˈstɜːrb/;làm phiền, quấy rầy;;
;233;reflection (n);/rɪˈflek.ʃən/;sự phản chiếu;;
;234;run (v);/rʌn/;điều hành, vận hành;;
;235;scan (v);/skæn/;đọc lướt, xem lướt;;
;236;subtract (v);/səbˈtrækt/;trừ đi;;
;237;tedium (n);/ˈtiːdiəm/;sự buồn tẻ, sự nhạt nhẽo;;
;238;verify (v);/ˈverɪfaɪ/;xác minh, kiểm chứng;;
;239;install (v);/ɪnˈstɔːl/;lắp đặt, cài đặt;;
Banking (Giao dịch ngân hàng);240;accept (n);/əkˈsept/;nhận, chấp nhận;;
;241;balance (n);/ˈbæləns/;sự cân bằng, số dư tài khoản;;
;242;borrow (v);/ˈbɑːroʊ/;vay, mượn;;
;243;cautiously (adv);/ˈkɑː.ʃəs.li/;một cách cẩn thận;;
;244;deduct (v);/dɪˈdʌkt/;khấu trừ;;
;245;dividend (n);/ˈdɪvɪdend/;cổ tức, tiền lãi cổ phần;;
;246;down payment (n);/daʊn ˈpeɪmənt/;tiền cọc, tiền trả trước;;
;247;mortgage (n, v);/ˈmɔːrɡɪdʒ/;sự cầm cố, sự thế chấp (n), cầm cố, thế chấp (v);;
;28;restricted (adj);/rəˈstriktəd/;bị hạn chế (= limited);;
;249;signature (n);/ˈsɪɡ.nə.tʃɚ/;chữ ký;;
;250;take out (v);/teɪk aʊt/;rút tiền;;
;251;transaction (n);/trænˈzæk.ʃən/;giao dịch;;
Accounting (Kế toán);252;accounting (n);/əˈkaʊntɪŋ/;công việc kế toán;;
;253;accumulate (v);/əˈkjuːmjəleɪt/;tích lũy, gom góp;;
;254;asset (n);/ˈæset/;tài sản;;
;255;audit (v);/ˈɔːdɪt/;kiểm toán;;
;256;budget (n, v);/ˈbʌdʒɪt/;lên ngân sách (v), ngân sách (n);;
;257;build up (v);/bɪld ʌp/;tăng cường, phát triển dần;;
;258;client (n);/ˈklaɪənt/;khách hàng;;
;259;debt (n);/det/;món nợ, khoản nợ;;
;260;outstanding (adj);/aʊtˈstændɪŋ/;chưa giải quyết, chưa thanh toán;;
;261;profitable (adj);/ˈprɑː.fɪ.t̬ə.bəl/;có lời;;
;262;reconcile (v);/ˈrekənsaɪl/;hòa giải;;
;263;turnover (n);/ˈtɜːrnoʊvər/;doanh thu, doanh số;;
Investments (Đầu tư);264;aggressive (adj);/əˈɡresɪv/;hùng hổ, xông xáo;;
;265;attitude (n);/ˈætɪtuːd/;thái độ;;
;266;commit (v);/kəˈmɪt/;cam kết;;
;267;conservative (adj);/kənˈsɝː.və.t̬ɪv/;"thận trọng\nbảo thủ";;
;268;fund (n, v);/fʌnd/;"tài trợ (v)\nquỹ (n)";;
;269;invest;/ɪnˈvest/;đầu tư;;
;270;long-term (adj);/ˌlɔːŋ ˈtɜːrm/;dài hạn;;
;271;portfolio (n);/pɔːrtˈfoʊlioʊ/;danh mục đầu tư;;
;272;pull out (v);/pʊl aʊt/;rút (đầu tư);;
;273;resource (n);/ˈriːsɔːrs/;nguồn tài nguyên, nguồn vốn;;
;274;return (n);/rɪˈtɜːrn/;lợi nhuận;;
;275;wisely (adv);/ˈwaɪz.li/;một khách khôn ngoan;;
Financial Statements (Báo cáo tài chính);276;desire (n, v);/dɪˈzaɪər/;"khao khát (v)\nsự khao khát (n)";;
;277;detail (n);/ˈdiːteɪl/;chi tiết, tỉ mỉ;;
;278;forecast (n, v);/ˈfɔːrkæst/;"dự báo (v)\nsự dự đoán (n)";;
;279;level (n);/ˈlevl/;cấp bậc, mức;;
;280;overall (adj);/ˌoʊvərˈɔːl/;toàn bộ, chung, tổng quát;;
;281;perspective (n);/pərˈspektɪv/;viễn cảnh, cách nhìn nhận;;
;282;project (n, v);/prəˈdʒekt/;"dự án (n)\nước đoán (v)";;
;283;realistic (adj);/ˌriː.əˈlɪs.tɪk/;thực tế;;
;284;target (v);/ˈtɑːrɡɪt/;nhắm vào;;
;285;translation (n);/trænzˈleɪ.ʃən/;bản dịch thuật, sự phiên dịch (về ngôn ngữ);;
;286;typically (adv);/ˈtɪp.ɪ.kəl.i/;tiêu biểu, điển hình;;
;287;yield (v, n);/jiːld/;"sản lượng (n)\nsản xuất, cung cấp (v)";;
Taxes (Thuế);288;calculation (n);/ˌkæl.kjəˈleɪ.ʃən/;sự tính toán, sự dự trù;;
;289;deadline (n);/ˈdedlaɪn/;hạn chót;;
;290;file (v);/faɪl/;"đệ trình, nộp\nsắp xếp (giấy tờ)";;
;291;fill out (v);/fɪl aʊt/;điền vào (giấy tờ);;
;292;give up (v);/ɡɪv ʌp/;từ bỏ;;
;293;joint (adj);/dʒɔɪnt/;chung, cùng;;
;294;own (v);/oʊ/;mắc nợ, mang ơn;;
;295;penalty (n);/ˈpen.əl.ti/;khoản tiền phạt, hình phạt;;
;296;preparation (n);/ˌprep.əˈreɪ.ʃən/;sự chuẩn bị;;
;297;refund (n, v);/rɪˈfʌnd/;"sự hoàn lại (n)\nhoàn lại (v)";;
;298;spouse (n);/spaʊs/;vợ/ chồng;;
;299;withhold (v);/wɪðˈhoʊld/;giữ lại;;
Property and Departments (Tài sản và Phòng ban);300;adjacent (adj);/əˈdʒeɪsnt/;liền kề, kế bên;;
;301;collaboration (n);/kəˌlæb.əˈreɪ.ʃən/;sự cộng tác;;
;302;concentrate on (v);/ˈkɑːnsntreɪt ɑːn/;tập trung vào (= focus on);;
;303;conductive (adj);/kənˈduːsɪv/;có lợi;;
;304;disruption (n);/dɪsˈrʌp.ʃən/;sự phá vỡ, sự hỗn loạn;;
;305;hamper (v);/ˈhæmpər/;gây cản trở;;
;306;inconsiderate(adj);/ˌɪnkənˈsɪdərət/;sơ suất, thiếu thận trọng;;
;307;lobby (n);/ˈlɑːbi/;hành lang, tiền sảnh;;
;308;move up;/muːv ʌp/;thăng tiến, tiến lên;;
;309;open to (adj);/əʊpən tu/;sẵn sàng đón nhận điều gì;;
;310;scrutiny (n);/ˈskruː.t̬ən.i/;sự nghiên cứu kỹ lưỡng;;
;311;opt (v);/ɑːpt/;chọn lựa;;
Board meetings and Committees (Họp Hội đồng và Phòng ban);312;adhear to (v);/ədˈhɪr/;tuân thủ;;
;313;agenda (n);/əˈdʒendə/;chương trình hội nghị;;
;314;bring up (v);/brɪŋ ʌp/;nêu ra, đề cập tới;;
;315;conclude (v);/kənˈkluːd/;kết thúc, kết luận;;
;316;go ahead (v);/ɡoʊ əˈhed/;tiếp tục;;
;317;goal (n);/ɡoʊl/;mục tiêu;;
;318;lengthy (adj);/ˈleŋθi/;dài, lâu;;
;319;matter (n);/ˈmætər/;vấn đề;;
;320;periodically (adv);/ˌpɪriˈɑdɪkli/;định kỳ;;
;321;priority (n);/praɪˈɔrət̮i/;quyền ưu tiên, sự ưu tiên;;
;322;progress (n, v);/prəˈɡres/;"phát triển, tiến bộ (v)\nsự phát triển, sự tiến bộ (n)";;
;323;waste (n, v);/weɪst/;"lãng phí (v)\nsự lãng phí (n)";;
Product Development (Phát triển sản phẩm);324;anxious (adj);/ˈæŋkʃəs/;lo lắng;;
;325;ascertain (v);/ˌæsərˈteɪn/;xác định, chắc chắn;;
;326;assume (v);/əˈsuːm/;đảm đương, gánh vác;;
;327;decade (v);/ˈdekeɪd/;thập kỷ;;
;328;examine (v);/ɪɡˈzæmɪn/;khảo sát;;
;329;experiment (n, v);/ɪkˈsperɪmənt/;"làm thí nghiệm (v)\ncuộc thử nghiệm (n)";;
;330;logical (adj);/ˈlɑːdʒɪkl/;hợp lý;;
;331;research (n, v);/rɪˈsɜːrtʃ/;nghiên cứu (v)việc nghiên cứu (n);;
;332;responsibility (n);/rɪˌspɑːnsəˈbɪləti/;trách nhiệm, bổn phận;;
;333;solve (v);/sɑːlv/;giải quyết;;
;334;supervisor (n);/ˈsupərˌvaɪzər/;người giám sát;;
;335;systematic (adj);/ˌsɪstəˈmætɪk/;có hệ thống;;
Quality Control (Quản trị chất lượng);336;brand (n);/brænd/;thương hiệu, nhãn hàng;;
;337;conform to (v);/kənˈfɔːrm tu/;phù hợp với;;
;338;defect (n);/ˈdiːfekt/;nhược điểm;;
;339;enhance (v);/ɪnˈhæns/;nâng cao;;
;340;garment (n);/ˈɡɑːrmənt/;quần áo;;
;341;inspect (v);/ɪnˈspekt/;kiểm tra, xem xét;;
;342;perceptive (adj);/pərˈsɛptɪv/;tinh tường, sâu sắc;;
;343;repel (v);/rɪˈpel/;đẩy lùi (khách hàng);;
;344;take back (v);/teɪk bæk/;trả lại, lấy lại;;
;345;throw out (v);/θrəʊ aʊt/;loại bỏ;;
;346;uniformly (adv);/ˈyunəˌfɔrm/;giống nhau, đồng bộ;;
;347;wrinkle (n);/ˈrɪŋkl/;nếp nhăn;;
Renting and Leasing (Thuê và Cho thuê);348;apprehensive (adj);/ˌæprɪˈhensɪv/;e ngại;;
;349;circumstance (n);/ˈsɜːrkəmstæns/;hoàn cảnh, tình huống;;
;350;condition (n);/kənˈdɪʃn/;điều kiện, tình trạng;;
;351;due to (pre);/duː tu/;bởi vì, nhờ có;;
;352;fluctuate (v);/ˈflʌktʃueɪt/;dao động, thay đổi thất thường;;
;353;get out of (v);/ɡet aʊt əv/;ra khỏi, thoát khỏi;;
